date,price
31/12/2020,204.580
30/12/2020,203.320
29/12/2020,204.000
28/12/2020,204.020
24/12/2020,203.190
23/12/2020,202.540
22/12/2020,202.210
21/12/2020,201.610
18/12/2020,202.860
17/12/2020,203.340
16/12/2020,202.740
15/12/2020,202.460
14/12/2020,201.050
11/12/2020,201.510
10/12/2020,201.490
09/12/2020,202.390
08/12/2020,202.970
07/12/2020,202.160
04/12/2020,202.300
03/12/2020,200.600
02/12/2020,201.370
01/12/2020,201.740
30/11/2020,200.890
27/11/2020,202.510
26/11/2020,202.270
25/11/2020,202.210
24/11/2020,202.680
23/11/2020,200.430
20/11/2020,199.290
19/11/2020,200.010
18/11/2020,199.150
17/11/2020,200.320
16/11/2020,201.200
13/11/2020,198.950
12/11/2020,197.340
11/11/2020,199.880
10/11/2020,196.960
09/11/2020,196.700
06/11/2020,193.340
05/11/2020,193.830
04/11/2020,191.770
03/11/2020,187.690
02/11/2020,185.440
30/10/2020,182.930
29/10/2020,184.800
28/10/2020,182.370
27/10/2020,186.830
26/10/2020,187.910
23/10/2020,190.820
22/10/2020,190.200
21/10/2020,189.190
20/10/2020,190.260
19/10/2020,190.440
16/10/2020,193.420
15/10/2020,193.250
14/10/2020,193.650
13/10/2020,194.920
12/10/2020,194.870
09/10/2020,192.290
08/10/2020,191.730
07/10/2020,190.250
06/10/2020,187.660
05/10/2020,189.280
02/10/2020,187.080
01/10/2020,188.140
30/09/2020,187.430
29/09/2020,186.740
28/09/2020,188.340
24/09/2020,183.300
23/09/2020,183.000
22/09/2020,185.660
21/09/2020,183.810
18/09/2020,185.190
17/09/2020,187.220
16/09/2020,188.440
15/09/2020,188.440
14/09/2020,187.020
10/09/2020,184.960
09/09/2020,187.950
08/09/2020,184.930
07/09/2020,188.650
04/09/2020,188.390
03/09/2020,189.990
02/09/2020,195.240
01/09/2020,191.150
31/08/2020,190.290
28/08/2020,191.380
25/08/2020,189.890
20/08/2020,186.740
19/08/2020,186.400
18/08/2020,186.450
17/08/2020,186.670
14/08/2020,186.690
13/08/2020,187.010
12/08/2020,187.620
11/08/2020,185.520
10/08/2020,185.610
07/08/2020,184.870
06/08/2020,184.310
05/08/2020,183.530
04/08/2020,183.820
03/08/2020,183.090
31/07/2020,180.240
30/07/2020,180.810
29/07/2020,182.190
28/07/2020,181.350
27/07/2020,181.540
24/07/2020,182.300
23/07/2020,184.090
22/07/2020,185.670
21/07/2020,186.870
20/07/2020,187.160
17/07/2020,185.900
16/07/2020,185.330
15/07/2020,186.190
14/07/2020,184.410
13/07/2020,183.490
10/07/2020,184.790
09/07/2020,183.490
08/07/2020,184.030
07/07/2020,183.740
06/07/2020,185.110
03/07/2020,183.090
02/07/2020,183.550
01/07/2020,181.470
30/06/2020,181.350
29/06/2020,178.990
26/06/2020,178.060
25/06/2020,180.870
24/06/2020,178.780
23/06/2020,182.260
22/06/2020,182.300
19/06/2020,182.450
18/06/2020,182.560
17/06/2020,182.690
16/06/2020,182.550
15/06/2020,177.850
12/06/2020,177.880
11/06/2020,174.950
10/06/2020,184.600
09/06/2020,185.230
08/06/2020,187.150
05/06/2020,185.190
04/06/2020,180.720
03/06/2020,183.060
02/06/2020,180.700
29/05/2020,178.380
28/05/2020,179.510
27/05/2020,179.710
26/05/2020,177.810
25/05/2020,176.400
22/05/2020,175.720
20/05/2020,175.760
19/05/2020,173.840
18/05/2020,175.730
15/05/2020,171.160
14/05/2020,170.500
13/05/2020,169.930
12/05/2020,172.560
11/05/2020,175.600
08/05/2020,174.760
07/05/2020,173.390
06/05/2020,171.400
05/05/2020,171.430
04/05/2020,168.680
30/04/2020,172.750
28/04/2020,172.110
27/04/2020,171.890
24/04/2020,169.320
23/04/2020,167.940
22/04/2020,167.400
21/04/2020,163.820
20/04/2020,168.750
17/04/2020,170.620
16/04/2020,166.720
15/04/2020,165.540
14/04/2020,168.520
09/04/2020,165.940
08/04/2020,164.470
07/04/2020,160.350
06/04/2020,160.450
03/04/2020,151.450
02/04/2020,152.770
01/04/2020,149.960
31/03/2020,155.500
30/03/2020,156.140
27/03/2020,151.960
26/03/2020,156.510
25/03/2020,151.570
24/03/2020,148.460
23/03/2020,136.840
20/03/2020,141.930
19/03/2020,145.460
18/03/2020,142.420
17/03/2020,148.290
16/03/2020,140.350
13/03/2020,156.080
12/03/2020,147.320
11/03/2020,160.540
10/03/2020,166.060
09/03/2020,160.440
06/03/2020,174.650
05/03/2020,180.100
04/03/2020,185.000
03/03/2020,178.980
02/03/2020,182.420
28/02/2020,179.060
27/02/2020,181.870
26/02/2020,190.710
25/02/2020,191.650
24/02/2020,197.160
21/02/2020,203.340
20/02/2020,205.730
19/02/2020,206.850
18/02/2020,205.410
17/02/2020,205.910
14/02/2020,205.820
13/02/2020,205.640
12/02/2020,205.130
11/02/2020,203.590
10/02/2020,202.730
07/02/2020,201.270
06/02/2020,202.000
05/02/2020,200.570
04/02/2020,197.910
31/01/2020,193.900
30/01/2020,197.190
29/01/2020,197.940
28/01/2020,197.820
27/01/2020,196.230
24/01/2020,199.300
23/01/2020,199.830
22/01/2020,199.630
21/01/2020,199.130
20/01/2020,199.760
17/01/2020,199.700
16/01/2020,198.100
15/01/2020,196.770
14/01/2020,197.010
13/01/2020,196.760
10/01/2020,196.260
09/01/2020,196.640
08/01/2020,195.260
07/01/2020,194.300
06/01/2020,193.810
03/01/2020,194.120
02/01/2020,194.590
