date,price
31/12/2020,178.36
30/12/2020,177.70
29/12/2020,176.35
28/12/2020,175.71
24/12/2020,176.35
23/12/2020,175.65
22/12/2020,174.49
21/12/2020,175.88
18/12/2020,176.44
17/12/2020,176.74
16/12/2020,174.90
15/12/2020,173.94
14/12/2020,171.54
11/12/2020,172.49
10/12/2020,172.17
09/12/2020,172.50
08/12/2020,175.50
07/12/2020,174.89
04/12/2020,172.32
03/12/2020,172.81
02/12/2020,171.46
01/12/2020,170.18
30/11/2020,166.67
27/11/2020,167.79
25/11/2020,169.51
24/11/2020,169.59
23/11/2020,172.23
20/11/2020,175.69
19/11/2020,175.16
18/11/2020,175.49
17/11/2020,176.50
16/11/2020,177.15
13/11/2020,177.16
12/11/2020,175.96
11/11/2020,174.90
10/11/2020,175.66
09/11/2020,175.08
06/11/2020,183.19
05/11/2020,182.93
04/11/2020,178.82
03/11/2020,178.92
02/11/2020,177.91
30/10/2020,176.20
29/10/2020,175.40
28/10/2020,176.13
27/10/2020,179.02
26/10/2020,178.55
23/10/2020,178.64
22/10/2020,178.83
21/10/2020,180.60
20/10/2020,179.25
19/10/2020,178.39
16/10/2020,178.30
15/10/2020,178.92
14/10/2020,178.27
13/10/2020,177.72
12/10/2020,180.56
11/10/2020,181.08
09/10/2020,181.08
08/10/2020,177.85
07/10/2020,177.22
06/10/2020,177.30
05/10/2020,179.41
04/10/2020,178.54
03/10/2020,178.54
02/10/2020,178.54
01/10/2020,178.70
30/09/2020,177.12
29/09/2020,178.19
28/09/2020,176.70
27/09/2020,174.94
26/09/2020,174.94
25/09/2020,174.94
24/09/2020,175.44
23/09/2020,174.79
22/09/2020,178.65
21/09/2020,179.52
18/09/2020,183.20
17/09/2020,182.96
16/09/2020,183.97
15/09/2020,183.45
14/09/2020,183.89
13/09/2020,182.45
11/09/2020,182.45
10/09/2020,182.46
09/09/2020,183.05
08/09/2020,181.29
04/09/2020,181.64
03/09/2020,181.14
02/09/2020,182.62
01/09/2020,185.05
31/08/2020,184.83
30/08/2020,184.39
28/08/2020,184.39
27/08/2020,181.24
26/08/2020,183.36
25/08/2020,181.22
24/08/2020,181.00
23/08/2020,182.03
21/08/2020,182.03
20/08/2020,183.50
19/08/2020,182.24
18/08/2020,188.18
17/08/2020,186.50
14/08/2020,182.54
13/08/2020,183.33
12/08/2020,179.10
11/08/2020,179.94
10/08/2020,190.15
09/08/2020,190.81
08/08/2020,190.81
07/08/2020,190.81
06/08/2020,193.89
05/08/2020,191.35
04/08/2020,189.59
03/08/2020,185.64
02/08/2020,185.43
31/07/2020,185.43
30/07/2020,183.76
29/07/2020,185.13
28/07/2020,183.75
27/07/2020,182.23
26/07/2020,178.70
25/07/2020,178.70
24/07/2020,178.70
23/07/2020,177.18
22/07/2020,175.63
21/07/2020,173.00
20/07/2020,170.94
17/07/2020,170.12
16/07/2020,168.73
15/07/2020,170.34
14/07/2020,170.19
13/07/2020,169.40
12/07/2020,169.19
11/07/2020,169.19
10/07/2020,169.19
09/07/2020,169.63
08/07/2020,170.09
07/07/2020,169.04
06/07/2020,167.98
05/07/2020,166.98
04/07/2020,166.98
02/07/2020,166.98
01/07/2020,166.62
30/06/2020,167.37
29/06/2020,166.63
26/06/2020,166.54
25/06/2020,165.80
24/06/2020,165.90
23/06/2020,166.48
22/06/2020,165.09
19/06/2020,164.03
18/06/2020,162.24
17/06/2020,162.56
16/06/2020,162.25
15/06/2020,162.33
12/06/2020,162.62
11/06/2020,162.39
10/06/2020,163.57
09/06/2020,161.26
08/06/2020,159.72
07/06/2020,158.01
05/06/2020,158.01
04/06/2020,161.28
03/06/2020,159.60
02/06/2020,162.60
01/06/2020,163.66
29/05/2020,162.91
28/05/2020,161.72
27/05/2020,161.18
26/05/2020,160.89
22/05/2020,163.21
21/05/2020,162.25
20/05/2020,164.65
19/05/2020,164.26
18/05/2020,162.69
15/05/2020,163.93
14/05/2020,163.01
13/05/2020,161.58
12/05/2020,160.04
11/05/2020,159.42
10/05/2020,160.42
09/05/2020,160.42
08/05/2020,160.42
07/05/2020,161.39
06/05/2020,158.95
05/05/2020,161.02
04/05/2020,160.34
03/05/2020,159.78
02/05/2020,159.78
01/05/2020,159.78
30/04/2020,158.80
29/04/2020,161.73
28/04/2020,160.84
27/04/2020,161.56
24/04/2020,162.64
23/04/2020,163.34
22/04/2020,161.73
21/04/2020,158.61
20/04/2020,159.70
17/04/2020,158.57
16/04/2020,161.71
15/04/2020,161.85
14/04/2020,162.68
13/04/2020,161.41
09/04/2020,158.69
08/04/2020,154.65
07/04/2020,156.04
06/04/2020,156.88
03/04/2020,152.65
02/04/2020,151.90
01/04/2020,149.45
31/03/2020,148.05
30/03/2020,152.92
27/03/2020,152.25
26/03/2020,153.24
25/03/2020,151.30
24/03/2020,153.40
23/03/2020,146.30
20/03/2020,140.11
19/03/2020,138.04
18/03/2020,140.70
17/03/2020,143.56
16/03/2020,141.64
13/03/2020,143.28
12/03/2020,147.79
11/03/2020,153.93
10/03/2020,154.48
09/03/2020,157.81
06/03/2020,157.55
05/03/2020,157.49
04/03/2020,154.16
03/03/2020,153.89
02/03/2020,149.20
28/02/2020,148.38
27/02/2020,154.00
26/02/2020,153.97
25/02/2020,153.30
24/02/2020,156.09
21/02/2020,154.70
20/02/2020,152.41
19/02/2020,151.79
18/02/2020,150.91
14/02/2020,149.00
13/02/2020,148.38
12/02/2020,147.54
11/02/2020,147.66
10/02/2020,148.17
07/02/2020,147.79
06/02/2020,147.40
05/02/2020,146.61
04/02/2020,146.43
03/02/2020,148.36
31/01/2020,149.33
30/01/2020,148.47
29/01/2020,148.46
28/01/2020,147.66
27/01/2020,148.99
24/01/2020,147.98
23/01/2020,147.12
22/01/2020,146.79
21/01/2020,146.74
17/01/2020,146.58
16/01/2020,146.31
15/01/2020,146.54
14/01/2020,145.69
13/01/2020,145.82
10/01/2020,146.91
09/01/2020,146.03
08/01/2020,146.86
07/01/2020,147.97
06/01/2020,147.39
03/01/2020,145.86
02/01/2020,143.95
