date,price
89.94,12/31/20
89.68,12/30/20
12/29/20,89.99
90.34,12/28/20
12/25/20,90.32
12/24/20,90.32
12/23/20,90.41
90.65,12/22/20
12/21/20,90.04
12/18/20,90.02
12/17/20,89.82
90.45,12/16/20
90.47,12/15/20
90.71,12/14/20
90.98,12/11/20
90.82,12/10/20
12/09/20,91.09
12/08/20,90.96
90.79,12/07/20
90.70,12/04/20
12/03/20,90.71
91.12,12/02/20
91.31,12/01/20
11/30/20,91.87
91.79,11/27/20
11/26/20,91.99
91.99,11/25/20
92.23,11/24/20
92.50,11/23/20
11/20/20,92.39
92.29,11/19/20
11/18/20,92.32
92.42,11/17/20
11/16/20,92.64
92.75,11/13/20
11/12/20,92.96
93.04,11/11/20
92.75,11/10/20
92.72,11/09/20
11/06/20,92.23
92.53,11/05/20
11/04/20,93.41
11/03/20,93.55
11/02/20,94.13
94.04,10/30/20
10/29/20,93.96
10/28/20,93.40
10/27/20,92.94
93.04,10/26/20
92.77,10/23/20
92.95,10/22/20
92.61,10/21/20
10/20/20,93.07
93.43,10/19/20
10/16/20,93.68
93.86,10/15/20
10/14/20,93.38
10/13/20,93.53
10/12/20,93.07
93.06,10/09/20
93.61,10/08/20
10/07/20,93.63
93.69,10/06/20
10/05/20,93.51
10/02/20,93.84
93.71,10/01/20
09/30/20,93.89
09/29/20,93.89
94.28,09/28/20
09/25/20,94.64
94.35,09/24/20
09/23/20,94.39
09/22/20,93.99
93.66,09/21/20
09/18/20,92.93
92.97,09/17/20
09/16/20,93.21
93.05,09/15/20
93.05,09/14/20
09/11/20,93.33
93.34,09/10/20
09/09/20,93.25
09/08/20,93.44
09/07/20,92.72
92.72,09/04/20
92.74,09/03/20
09/02/20,92.85
09/01/20,92.34
08/31/20,92.14
08/28/20,92.37
93.00,08/27/20
08/26/20,93.01
08/25/20,93.02
93.30,08/24/20
93.25,08/21/20
92.79,08/20/20
92.89,08/19/20
92.27,08/18/20
92.85,08/17/20
08/14/20,93.10
08/13/20,93.33
08/12/20,93.44
08/11/20,93.63
93.58,08/10/20
08/07/20,93.43
92.79,08/06/20
92.87,08/05/20
08/04/20,93.38
93.54,08/03/20
93.35,07/31/20
07/30/20,93.02
93.45,07/29/20
93.70,07/28/20
93.67,07/27/20
94.43,07/24/20
07/23/20,94.69
94.99,07/22/20
95.12,07/21/20
07/20/20,95.83
07/17/20,95.94
96.35,07/16/20
96.08,07/15/20
96.26,07/14/20
96.46,07/13/20
07/10/20,96.65
96.70,07/09/20
96.43,07/08/20
07/07/20,96.88
07/06/20,96.72
97.17,07/03/20
97.32,07/02/20
97.20,07/01/20
97.39,06/30/20
06/29/20,97.54
06/26/20,97.43
97.43,06/25/20
06/24/20,97.15
96.65,06/23/20
06/22/20,97.04
97.62,06/19/20
06/18/20,97.42
06/17/20,97.16
06/16/20,96.96
96.71,06/15/20
97.32,06/12/20
06/11/20,96.73
06/10/20,95.96
06/09/20,96.32
96.62,06/08/20
96.94,06/05/20
96.68,06/04/20
06/03/20,97.28
97.67,06/02/20
97.83,06/01/20
98.34,05/29/20
05/28/20,98.38
99.06,05/27/20
98.91,05/26/20
99.86,05/25/20
99.86,05/22/20
99.37,05/21/20
05/20/20,99.12
99.37,05/19/20
99.67,05/18/20
100.40,05/15/20
100.47,05/14/20
100.24,05/13/20
05/12/20,99.93
100.24,05/11/20
99.73,05/08/20
99.89,05/07/20
100.09,05/06/20
05/05/20,99.71
05/04/20,99.48
05/01/20,99.08
99.02,04/30/20
04/29/20,99.57
99.86,04/28/20
100.04,04/27/20
04/24/20,100.38
100.43,04/23/20
04/22/20,100.39
100.26,04/21/20
99.96,04/20/20
04/17/20,99.78
04/16/20,100.03
04/15/20,99.46
98.89,04/14/20
04/13/20,99.35
04/10/20,99.52
04/09/20,99.52
04/08/20,100.12
99.90,04/07/20
04/06/20,100.68
04/03/20,100.58
04/02/20,100.18
04/01/20,99.67
03/31/20,99.05
99.18,03/30/20
98.36,03/27/20
03/26/20,99.35
101.05,03/25/20
03/24/20,102.04
03/23/20,102.49
102.82,03/20/20
03/19/20,102.99
03/18/20,101.16
03/17/20,99.58
98.07,03/16/20
98.75,03/13/20
03/12/20,97.47
03/11/20,96.51
03/10/20,96.41
03/09/20,94.89
95.95,03/06/20
03/05/20,96.82
03/04/20,97.34
03/03/20,97.15
97.36,03/02/20
02/28/20,98.13
02/27/20,98.51
02/26/20,99.00
02/25/20,98.97
02/24/20,99.36
99.26,02/21/20
02/20/20,99.86
02/19/20,99.70
02/18/20,99.44
02/17/20,99.00
99.12,02/14/20
99.07,02/13/20
99.05,02/12/20
98.72,02/11/20
98.83,02/10/20
02/07/20,98.68
98.50,02/06/20
98.30,02/05/20
02/04/20,97.96
97.80,02/03/20
97.39,01/31/20
97.87,01/30/20
97.99,01/29/20
98.02,01/28/20
01/27/20,97.96
97.85,01/24/20
97.69,01/23/20
01/22/20,97.53
97.53,01/21/20
01/20/20,97.61
97.64,01/17/20
97.32,01/16/20
01/15/20,97.23
01/14/20,97.37
01/13/20,97.34
97.36,01/10/20
97.45,01/09/20
97.30,01/08/20
97.00,01/07/20
01/06/20,96.67
96.84,01/03/20
01/02/20,96.85
96.39,01/01/20
