date,price
30/12/2020,253.84
29/12/2020,253.82
28/12/2020,253.55
23/12/2020,254.18
22/12/2020,255.13
21/12/2020,254.41
18/12/2020,254.35
17/12/2020,254.50
16/12/2020,255.09
15/12/2020,255.23
14/12/2020,255.52
11/12/2020,255.84
10/12/2020,255.41
09/12/2020,255.69
08/12/2020,255.16
07/12/2020,254.72
04/12/2020,253.74
03/12/2020,252.75
02/12/2020,255.63
01/12/2020,255.20
30/11/2020,257.43
27/11/2020,257.57
26/11/2020,258.01
25/11/2020,257.88
24/11/2020,257.63
23/11/2020,258.78
20/11/2020,258.85
19/11/2020,258.47
18/11/2020,258.41
17/11/2020,257.67
16/11/2020,257.60
13/11/2020,259.12
12/11/2020,257.51
11/11/2020,258.87
10/11/2020,256.72
09/11/2020,258.53
06/11/2020,258.47
05/11/2020,259.67
04/11/2020,260.60
03/11/2020,259.37
02/11/2020,260.66
30/10/2020,260.30
29/10/2020,260.61
28/10/2020,259.17
27/10/2020,258.50
26/10/2020,257.90
23/10/2020,256.71
22/10/2020,257.34
21/10/2020,258.75
20/10/2020,257.98
19/10/2020,258.50
16/10/2020,259.99
15/10/2020,259.89
14/10/2020,259.56
13/10/2020,258.95
12/10/2020,258.14
09/10/2020,257.51
08/10/2020,257.62
07/10/2020,257.47
06/10/2020,257.45
05/10/2020,257.65
02/10/2020,259.38
01/10/2020,258.68
30/09/2020,258.42
29/09/2020,259.30
28/09/2020,260.13
25/09/2020,260.56
24/09/2020,260.03
23/09/2020,259.79
22/09/2020,259.37
21/09/2020,259.13
18/09/2020,257.63
17/09/2020,258.34
16/09/2020,257.78
15/09/2020,257.08
14/09/2020,256.19
11/09/2020,256.37
10/09/2020,255.36
09/09/2020,256.25
08/09/2020,257.25
07/09/2020,255.51
04/09/2020,256.54
03/09/2020,257.71
02/09/2020,257.81
01/09/2020,254.04
31/08/2020,254.31
28/08/2020,255.40
27/08/2020,256.16
26/08/2020,256.54
25/08/2020,256.57
24/08/2020,257.78
21/08/2020,258.15
20/08/2020,257.18
19/08/2020,256.52
18/08/2020,255.66
17/08/2020,256.41
14/08/2020,256.05
13/08/2020,256.34
12/08/2020,257.15
11/08/2020,257.95
10/08/2020,259.31
07/08/2020,259.15
06/08/2020,259.62
05/08/2020,257.70
04/08/2020,259.31
03/08/2020,259.49
31/07/2020,259.01
30/07/2020,258.59
29/07/2020,259.03
28/07/2020,259.83
27/07/2020,258.90
24/07/2020,259.65
23/07/2020,260.25
22/07/2020,260.48
21/07/2020,261.08
20/07/2020,261.67
17/07/2020,261.77
16/07/2020,261.95
15/07/2020,261.74
14/07/2020,262.27
13/07/2020,262.21
10/07/2020,261.95
09/07/2020,263.65
08/07/2020,262.96
07/07/2020,262.40
06/07/2020,262.34
03/07/2020,263.53
02/07/2020,262.33
01/07/2020,261.90
30/06/2020,263.43
29/06/2020,263.05
26/06/2020,264.42
25/06/2020,264.01
24/06/2020,262.71
23/06/2020,261.43
22/06/2020,262.30
19/06/2020,263.70
18/06/2020,263.02
17/06/2020,263.34
16/06/2020,262.35
15/06/2020,262.84
12/06/2020,262.41
11/06/2020,261.31
10/06/2020,261.14
09/06/2020,258.67
08/06/2020,259.48
05/06/2020,257.61
04/06/2020,259.07
03/06/2020,262.30
02/06/2020,262.14
01/06/2020,263.52
29/05/2020,263.74
28/05/2020,266.33
27/05/2020,265.82
26/05/2020,265.76
25/05/2020,267.34
22/05/2020,267.02
21/05/2020,266.35
20/05/2020,265.65
19/05/2020,265.93
18/05/2020,267.05
15/05/2020,268.33
14/05/2020,269.36
13/05/2020,268.30
12/05/2020,267.10
11/05/2020,267.65
08/05/2020,268.44
07/05/2020,268.70
06/05/2020,268.65
05/05/2020,268.85
04/05/2020,267.85
30/04/2020,268.09
29/04/2020,269.31
28/04/2020,268.76
27/04/2020,268.68
24/04/2020,269.13
23/04/2020,268.16
22/04/2020,266.50
21/04/2020,266.46
20/04/2020,266.49
17/04/2020,267.52
16/04/2020,267.01
15/04/2020,265.41
14/04/2020,264.00
09/04/2020,262.76
08/04/2020,265.61
07/04/2020,265.33
06/04/2020,265.80
03/04/2020,264.97
02/04/2020,265.51
01/04/2020,267.37
31/03/2020,263.01
30/03/2020,265.23
27/03/2020,265.07
26/03/2020,260.03
25/03/2020,263.43
24/03/2020,261.59
23/03/2020,265.67
20/03/2020,259.93
19/03/2020,258.20
18/03/2020,261.09
17/03/2020,255.16
16/03/2020,263.43
13/03/2020,256.92
12/03/2020,267.66
11/03/2020,266.20
10/03/2020,266.39
09/03/2020,268.45
06/03/2020,265.54
05/03/2020,264.01
04/03/2020,264.32
03/03/2020,263.93
02/03/2020,262.95
28/02/2020,264.76
27/02/2020,263.35
26/02/2020,263.64
25/02/2020,264.79
24/02/2020,264.38
21/02/2020,262.73
20/02/2020,263.10
19/02/2020,262.52
18/02/2020,263.37
17/02/2020,262.58
14/02/2020,262.42
13/02/2020,261.71
12/02/2020,260.72
11/02/2020,260.95
10/02/2020,261.05
07/02/2020,259.99
06/02/2020,258.69
05/02/2020,258.55
04/02/2020,259.09
03/02/2020,259.95
31/01/2020,259.95
30/01/2020,260.16
29/01/2020,259.81
28/01/2020,259.16
27/01/2020,259.62
24/01/2020,257.85
23/01/2020,257.44
22/01/2020,255.12
21/01/2020,254.89
20/01/2020,254.49
17/01/2020,254.53
16/01/2020,253.87
15/01/2020,253.71
14/01/2020,253.83
13/01/2020,253.37
10/01/2020,254.35
09/01/2020,254.05
08/01/2020,254.82
07/01/2020,254.36
06/01/2020,254.16
03/01/2020,255.12
02/01/2020,253.28
