asset alloc,method,timeframe,cost,volatility,return
1,DCA,12,0.2000000000,2.0174562245,0.3702357411
1,DCA-rebalance,12,0.2000000000,3.0133464881,0.3702357411
1,Oneoff,12,0.2000000000,2.2360679775,3.9185357051
1,oneoff-rebal.,12,0.2000000000,2.2360679775,3.9185357051
2,DCA,12,0.2000000000,2.0225484029,-99.6157919983
2,DCA-rebalance,12,0.2000000000,3.0201086322,-99.6157919983
2,Oneoff,12,0.2000000000,2.2360679775,-99.6051800379
2,oneoff-rebal.,12,0.2000000000,2.2360679775,-99.6051800379
3,DCA,12,0.1997141575,2.0138509381,13.0795204379
3,DCA-rebalance,12,0.1996487042,3.1771697294,15.7014368944
3,Oneoff,12,0.1997139441,2.2320723734,16.6338351965
3,oneoff-rebal.,12,0.1996832257,7.9838822952,17.9823845920
4,DCA,12,0.1997020769,1.9908748177,12.6574092041
4,DCA-rebalance,12,0.1998258470,2.6959140449,-42.6291307114
4,Oneoff,12,0.1997442224,1.8280498176,-0.8492300286
4,oneoff-rebal.,12,0.1997250127,6.7199256970,-1.4066047212
5,DCA,12,0.1996933073,1.8821289745,7.9409697355
5,DCA-rebalance,12,0.1998751822,3.2816373821,-58.0549733720
5,Oneoff,12,0.1997705663,1.5594433384,-15.5951530238
5,oneoff-rebal.,12,0.1997556629,5.9650377335,-16.4429314549
6,DCA,12,0.1996877718,1.8013236724,3.8359796847
6,DCA-rebalance,12,0.1999094395,3.6016318972,-67.9513168811
6,Oneoff,12,0.1997918600,1.4169897249,-27.6069274184
6,oneoff-rebal.,12,0.1997805943,5.5599654959,-28.4785343096
7,DCA,12,0.1997283995,1.5008841772,-14.1766883346
7,DCA-rebalance,12,0.1999182400,3.6893136891,-69.4731446672
7,Oneoff,12,0.1998084766,1.3690147466,-37.1734768793
7,oneoff-rebal.,12,0.1998017027,5.3822516143,-38.4264941265
8,DCA,12,0.1997648556,1.3106281459,-31.3374356572
8,DCA-rebalance,12,0.1999267890,3.7160392924,-70.9175438101
8,Oneoff,12,0.1998235459,1.3811045814,-45.6588510549
8,oneoff-rebal.,12,0.1998183500,5.3914776334,-46.6965262066
9,DCA,12,0.1998042269,1.3033769206,-49.9041359289
9,DCA-rebalance,12,0.1999438680,3.7384983199,-75.5239740933
9,Oneoff,12,0.1998476076,1.5009178049,-59.1394934059
9,oneoff-rebal.,12,0.1998448953,5.6594122865,-59.7869526601
10,DCA,12,0.1998244208,1.3783441186,-58.9945640750
10,DCA-rebalance,12,0.1999486755,3.7177666798,-76.6177991269
10,Oneoff,12,0.1998567097,1.5767902285,-64.4134171759
10,oneoff-rebal.,12,0.1998547264,5.8365990796,-64.8263673542
11,DCA,12,0.1998323220,1.4286212391,-63.1436834913
11,DCA-rebalance,12,0.1999543618,3.7312206299,-78.9459479968
11,Oneoff,12,0.1998653698,1.6572508744,-69.2246049949
11,oneoff-rebal.,12,0.1998631678,6.0897710198,-69.2603171553
12,DCA,12,0.1998471971,1.5264674778,-69.9300191190
12,DCA-rebalance,12,0.1999555106,3.6905978744,-79.7946045828
12,Oneoff,12,0.1998729942,1.7370949010,-73.5169744604
12,oneoff-rebal.,12,0.1998705791,6.3464527955,-73.3289690369
13,DCA,12,0.1998601527,1.6162160090,-75.3365703266
13,DCA-rebalance,12,0.1999556415,3.6498786627,-80.7889910808
13,Oneoff,12,0.1998798447,1.8132002782,-77.3198443326
13,oneoff-rebal.,12,0.1998767435,6.5922963764,-76.8900634855
14,DCA,12,0.1998642544,1.6799561291,-78.6330244066
14,DCA-rebalance,12,0.1999556384,3.6419155919,-82.6095178015
14,Oneoff,12,0.1998855362,1.8848793248,-80.6933363925
14,oneoff-rebal.,12,0.1998828657,6.8008660180,-80.2166021599
15,DCA,12,0.1998745869,1.7595055623,-82.8174093952
15,DCA-rebalance,12,0.1999536840,3.6000913362,-83.8077296782
15,Oneoff,12,0.1998911304,1.9530346162,-83.7882904956
15,oneoff-rebal.,12,0.1998876044,7.0868927729,-83.1924807487
16,DCA,12,0.1998836258,1.8282081411,-86.2817120412
16,DCA-rebalance,12,0.1999489524,3.5477361675,-85.3387769252
16,Oneoff,12,0.1998961708,2.0176405492,-86.6231043880
16,oneoff-rebal.,12,0.1998927150,7.2818016672,-86.0843374280
17,DCA,12,0.1998860583,1.8920652127,-89.0992363146
17,DCA-rebalance,12,0.1999437946,3.5270274538,-87.0115881170
17,Oneoff,12,0.1999007948,2.0773608450,-89.1792413813
17,oneoff-rebal.,12,0.1998966279,7.4867013603,-88.6162124571
18,DCA,12,0.1998931279,1.9597466313,-92.2352369704
18,DCA-rebalance,12,0.1999362774,3.4833545531,-88.7541649396
18,Oneoff,12,0.1999047069,2.1336068985,-91.5200610524
18,oneoff-rebal.,12,0.1999002511,7.7144663389,-91.0451675040
19,DCA,12,0.1998956116,2.0086101353,-94.3262048368
19,DCA-rebalance,12,0.1999274666,3.4978988309,-91.3541103273
19,Oneoff,12,0.1999086161,2.1859232574,-93.6737828981
19,oneoff-rebal.,12,0.1999039498,7.8765945969,-93.3001351553
20,DCA,12,0.1999032574,2.0224223336,-95.2654585550
20,DCA-rebalance,12,0.1999235184,3.4371236440,-96.1739407099
20,Oneoff,12,0.1999122172,2.2348413783,-95.6577630088
20,oneoff-rebal.,12,0.1999078126,8.0584842655,-95.4596940133
