asset alloc,method,timeframe,cost,volatility,return
1,DCA,1,0.2000000000,2.2360679775,1.1085331271
1,DCA-rebalance,1,0.2000000000,3.1622776602,1.1085331271
1,Oneoff,1,0.2000000000,2.2360679775,1.1085331271
1,oneoff-rebal.,1,0.2000000000,2.2360679775,1.1085331271
2,DCA,1,0.2000000000,1.8647702068,1.3250170362
2,DCA-rebalance,1,0.2000000000,2.7005737412,1.3250170362
2,Oneoff,1,0.2000000000,1.8647702068,1.3250170362
2,oneoff-rebal.,1,0.2000000000,2.7005737412,1.3250170362
3,DCA,1,0.2000000000,1.6038396391,1.5108263521
3,DCA-rebalance,1,0.2000000000,2.3841333252,1.5108263521
3,Oneoff,1,0.2000000000,1.6038396391,1.5108263521
3,oneoff-rebal.,1,0.2000000000,2.3841333252,1.5108263521
4,DCA,1,0.2000000000,1.4503432629,1.6648190713
4,DCA-rebalance,1,0.2000000000,2.2024211245,1.6648190713
4,Oneoff,1,0.2000000000,1.4503432629,1.6648190713
4,oneoff-rebal.,1,0.2000000000,2.2024211245,1.6648190713
5,DCA,1,0.2000000000,1.3823546276,1.7892643829
5,DCA-rebalance,1,0.2000000000,2.1082335106,1.7930913070
5,Oneoff,1,0.2000000000,1.3823546276,1.7892643829
5,oneoff-rebal.,1,0.2000000000,2.1082335106,1.7930913070
6,DCA,1,0.2000000000,1.3710469287,1.9007787413
6,DCA-rebalance,1,0.2000000000,2.0963085378,1.9037350728
6,Oneoff,1,0.2000000000,1.3710469287,1.9007787413
6,oneoff-rebal.,1,0.2000000000,2.0963085378,1.9037350728
7,DCA,1,0.2000000000,1.3999200291,1.9965731981
7,DCA-rebalance,1,0.2000000000,2.1305702919,1.9988543067
7,Oneoff,1,0.2000000000,1.3999200291,1.9965731981
7,oneoff-rebal.,1,0.2000000000,2.1305702919,1.9988543067
8,DCA,1,0.2000000000,1.4528419925,2.0804104054
8,DCA-rebalance,1,0.2000000000,2.2053469790,2.0804104054
8,Oneoff,1,0.2000000000,1.4528419925,2.0804104054
8,oneoff-rebal.,1,0.2000000000,2.2053469790,2.0804104054
9,DCA,1,0.2000000000,1.5160218408,2.1516161989
9,DCA-rebalance,1,0.2000000000,2.2676933960,2.1529563090
9,Oneoff,1,0.2000000000,1.5160218408,2.1516161989
9,oneoff-rebal.,1,0.2000000000,2.2676933960,2.1529563090
10,DCA,1,0.2000000000,1.5873922305,2.2173355460
10,DCA-rebalance,1,0.2000000000,2.3528827333,2.2183296551
10,Oneoff,1,0.2000000000,1.5873922305,2.2173355460
10,oneoff-rebal.,1,0.2000000000,2.3528827333,2.2183296551
11,DCA,1,0.2000000000,1.6597295921,2.2755286396
11,DCA-rebalance,1,0.2000000000,2.4399483778,2.2762429606
