asset alloc,method,timeframe,return
1,DCA,12,-56.50
1,DCA-rebalance,12,0.42
1,Oneoff,12,3.92
1,oneoff-rebal.,12,3.92
2,DCA,12,-57.09
2,DCA-rebalance,12,-2.73
2,Oneoff,12,0.22
2,oneoff-rebal.,12,0.22
3,DCA,12,-56.70
3,DCA-rebalance,12,-0.99
3,Oneoff,12,3.53
3,oneoff-rebal.,12,1.23
4,DCA,12,-56.70
4,DCA-rebalance,12,-6.58
4,Oneoff,12,3.35
4,oneoff-rebal.,12,-0.83
5,DCA,12,-55.61
5,DCA-rebalance,12,-9.54
5,Oneoff,12,3.16
5,oneoff-rebal.,12,-1.32
6,DCA,12,-54.80
6,DCA-rebalance,12,-12.88
6,Oneoff,12,2.97
6,oneoff-rebal.,12,-1.93
7,DCA,12,-54.51
7,DCA-rebalance,12,-12.07
7,Oneoff,12,2.79
7,oneoff-rebal.,12,-3.22
8,DCA,12,-54.39
8,DCA-rebalance,12,-10.46
8,Oneoff,12,2.61
8,oneoff-rebal.,12,-3.52
9,DCA,12,-54.81
9,DCA-rebalance,12,-10.05
9,Oneoff,12,2.23
9,oneoff-rebal.,12,-4.37
10,DCA,12,-55.10
10,DCA-rebalance,12,-8.54
10,Oneoff,12,2.05
10,oneoff-rebal.,12,-4.49
11,DCA,12,-55.42
11,DCA-rebalance,12,-8.83
11,Oneoff,12,1.87
11,oneoff-rebal.,12,-5.06
12,DCA,12,-55.52
12,DCA-rebalance,12,-7.82
12,Oneoff,12,1.68
12,oneoff-rebal.,12,-4.94
13,DCA,12,-55.48
13,DCA-rebalance,12,-7.20
13,Oneoff,12,1.49
13,oneoff-rebal.,12,-4.62
14,DCA,12,-55.42
14,DCA-rebalance,12,-7.48
14,Oneoff,12,1.31
14,oneoff-rebal.,12,-4.56
15,DCA,12,-55.76
15,DCA-rebalance,12,-6.59
15,Oneoff,12,1.12
15,oneoff-rebal.,12,-4.22
16,DCA,12,-55.88
16,DCA-rebalance,12,-5.78
16,Oneoff,12,0.94
16,oneoff-rebal.,12,-3.85
17,DCA,12,-55.69
17,DCA-rebalance,12,-5.65
17,Oneoff,12,0.75
17,oneoff-rebal.,12,-3.49
18,DCA,12,-55.79
18,DCA-rebalance,12,-6.78
18,Oneoff,12,0.57
18,oneoff-rebal.,12,-2.83
19,DCA,12,-55.91
19,DCA-rebalance,12,-7.97
19,Oneoff,12,0.38
19,oneoff-rebal.,12,-2.20
20,DCA,12,-56.99
20,DCA-rebalance,12,-4.25
20,Oneoff,12,0.20
20,oneoff-rebal.,12,-2.47
