Date,Trading Method.,Purchase ID,Asset Alloc.,stock_money,stock_price,stock_units,cbond_money,cbond_price,cbond_units,sbond_money,sbond_price,sbond_units,gold_money,gold_price,gold_units,cash_money,cash_price,cash_units,Timeframe
01/01/2020,Oneoff,1.ALL,1,0.0,194.59,0,100000.0,77.58,1288,0.0,253.28,0,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,2.ALL,2,0.0,194.59,0,95000.0,77.58,1224,5000.0,253.28,19,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,3.ALL,3,0.0,194.59,0,90000.0,77.58,1160,10000.0,253.28,39,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,4.ALL,4,0.0,194.59,0,85000.0,77.58,1095,15000.0,253.28,59,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,5.ALL,5,0.0,194.59,0,80000.0,77.58,1031,20000.0,253.28,78,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,6.ALL,6,0.0,194.59,0,75000.0,77.58,966,25000.0,253.28,98,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,7.ALL,7,0.0,194.59,0,70000.0,77.58,902,30000.0,253.28,118,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,8.ALL,8,0.0,194.59,0,65000.0,77.58,837,35000.0,253.28,138,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,9.ALL,9,0.0,194.59,0,60000.0,77.58,773,40000.0,253.28,157,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,10.ALL,10,0.0,194.59,0,55000.00000000001,77.58,708,45000.0,253.28,177,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,11.ALL,11,0.0,194.59,0,50000.0,77.58,644,50000.0,253.28,197,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,12.ALL,12,0.0,194.59,0,45000.0,77.58,580,55000.00000000001,253.28,217,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,13.ALL,13,0.0,194.59,0,40000.0,77.58,515,60000.0,253.28,236,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,14.ALL,14,0.0,194.59,0,35000.0,77.58,451,65000.0,253.28,256,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,15.ALL,15,0.0,194.59,0,30000.0,77.58,386,70000.0,253.28,276,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,16.ALL,16,0.0,194.59,0,25000.0,77.58,322,75000.0,253.28,296,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,17.ALL,17,0.0,194.59,0,20000.0,77.58,257,80000.0,253.28,315,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,18.ALL,18,0.0,194.59,0,15000.0,77.58,193,85000.0,253.28,335,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,19.ALL,19,0.0,194.59,0,10000.0,77.58,128,90000.0,253.28,355,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,20.ALL,20,0.0,194.59,0,5000.0,77.58,64,95000.0,253.28,375,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,21.ALL,21,0.0,194.59,0,0.0,77.58,0,100000.0,253.28,394,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,22.ALL,22,5000.0,194.59,25,95000.0,77.58,1224,0.0,253.28,0,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,23.ALL,23,5000.0,194.59,25,90000.0,77.58,1160,5000.0,253.28,19,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,24.ALL,24,5000.0,194.59,25,85000.0,77.58,1095,10000.0,253.28,39,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,25.ALL,25,5000.0,194.59,25,80000.0,77.58,1031,15000.0,253.28,59,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,26.ALL,26,5000.0,194.59,25,75000.0,77.58,966,20000.0,253.28,78,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,27.ALL,27,5000.0,194.59,25,70000.0,77.58,902,25000.0,253.28,98,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,28.ALL,28,5000.0,194.59,25,65000.0,77.58,837,30000.0,253.28,118,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,29.ALL,29,5000.0,194.59,25,60000.0,77.58,773,35000.0,253.28,138,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,30.ALL,30,5000.0,194.59,25,55000.00000000001,77.58,708,40000.0,253.28,157,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,31.ALL,31,5000.0,194.59,25,50000.0,77.58,644,45000.0,253.28,177,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,32.ALL,32,5000.0,194.59,25,45000.0,77.58,580,50000.0,253.28,197,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,33.ALL,33,5000.0,194.59,25,40000.0,77.58,515,55000.00000000001,253.28,217,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,34.ALL,34,5000.0,194.59,25,35000.0,77.58,451,60000.0,253.28,236,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,35.ALL,35,5000.0,194.59,25,30000.0,77.58,386,65000.0,253.28,256,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,36.ALL,36,5000.0,194.59,25,25000.0,77.58,322,70000.0,253.28,276,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,37.ALL,37,5000.0,194.59,25,20000.0,77.58,257,75000.0,253.28,296,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,38.ALL,38,5000.0,194.59,25,15000.0,77.58,193,80000.0,253.28,315,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,39.ALL,39,5000.0,194.59,25,10000.0,77.58,128,85000.0,253.28,335,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,40.ALL,40,5000.0,194.59,25,5000.0,77.58,64,90000.0,253.28,355,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,41.ALL,41,5000.0,194.59,25,0.0,77.58,0,95000.0,253.28,375,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,42.ALL,42,10000.0,194.59,51,90000.0,77.58,1160,0.0,253.28,0,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,43.ALL,43,10000.0,194.59,51,85000.0,77.58,1095,5000.0,253.28,19,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,44.ALL,44,10000.0,194.59,51,80000.0,77.58,1031,10000.0,253.28,39,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,45.ALL,45,10000.0,194.59,51,75000.0,77.58,966,15000.0,253.28,59,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,46.ALL,46,10000.0,194.59,51,70000.0,77.58,902,20000.0,253.28,78,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,47.ALL,47,10000.0,194.59,51,65000.0,77.58,837,25000.0,253.28,98,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,48.ALL,48,10000.0,194.59,51,60000.0,77.58,773,30000.0,253.28,118,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,49.ALL,49,10000.0,194.59,51,55000.00000000001,77.58,708,35000.0,253.28,138,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,50.ALL,50,10000.0,194.59,51,50000.0,77.58,644,40000.0,253.28,157,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,51.ALL,51,10000.0,194.59,51,45000.0,77.58,580,45000.0,253.28,177,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,52.ALL,52,10000.0,194.59,51,40000.0,77.58,515,50000.0,253.28,197,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,53.ALL,53,10000.0,194.59,51,35000.0,77.58,451,55000.00000000001,253.28,217,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,54.ALL,54,10000.0,194.59,51,30000.0,77.58,386,60000.0,253.28,236,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,55.ALL,55,10000.0,194.59,51,25000.0,77.58,322,65000.0,253.28,256,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,56.ALL,56,10000.0,194.59,51,20000.0,77.58,257,70000.0,253.28,276,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,57.ALL,57,10000.0,194.59,51,15000.0,77.58,193,75000.0,253.28,296,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,58.ALL,58,10000.0,194.59,51,10000.0,77.58,128,80000.0,253.28,315,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,59.ALL,59,10000.0,194.59,51,5000.0,77.58,64,85000.0,253.28,335,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,60.ALL,60,10000.0,194.59,51,0.0,77.58,0,90000.0,253.28,355,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,61.ALL,61,15000.0,194.59,77,85000.0,77.58,1095,0.0,253.28,0,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,62.ALL,62,15000.0,194.59,77,80000.0,77.58,1031,5000.0,253.28,19,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,63.ALL,63,15000.0,194.59,77,75000.0,77.58,966,10000.0,253.28,39,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,64.ALL,64,15000.0,194.59,77,70000.0,77.58,902,15000.0,253.28,59,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,65.ALL,65,15000.0,194.59,77,65000.0,77.58,837,20000.0,253.28,78,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,66.ALL,66,15000.0,194.59,77,60000.0,77.58,773,25000.0,253.28,98,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,67.ALL,67,15000.0,194.59,77,55000.00000000001,77.58,708,30000.0,253.28,118,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,68.ALL,68,15000.0,194.59,77,50000.0,77.58,644,35000.0,253.28,138,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,69.ALL,69,15000.0,194.59,77,45000.0,77.58,580,40000.0,253.28,157,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,70.ALL,70,15000.0,194.59,77,40000.0,77.58,515,45000.0,253.28,177,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,71.ALL,71,15000.0,194.59,77,35000.0,77.58,451,50000.0,253.28,197,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,72.ALL,72,15000.0,194.59,77,30000.0,77.58,386,55000.00000000001,253.28,217,0.0,143.95,0,0.0,1,0,1
01/01/2020,Oneoff,73.ALL,73,15000.0,194.59,77,25000.0,77.58,322,60000.0,253.28,236,0.0,143.95,0,0.0,1,0,1
