Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Purchase_num,Timeframe
01/01/2020,Oneoff,1.ST,1,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,1.CB,1,cbonds,99923.04,77.58,1288,99923.04,12
01/01/2020,Oneoff,1.SB,1,sbonds,0.0,253.28,0,0.0,12
01/01/2020,Oneoff,1.GO,1,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,1.CA,1,cash,0,1,0,0,12
01/01/2020,Oneoff,2.ST,2,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,2.CB,2,cbonds,0.0,77.58,0,0.0,12
01/01/2020,Oneoff,2.SB,2,sbonds,99792.32,253.28,394,99792.32,12
01/01/2020,Oneoff,2.GO,2,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,2.CA,2,cash,0,1,0,0,12
01/01/2020,Oneoff,3.ST,3,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,3.CB,3,cbonds,89992.8,77.58,1160,89992.8,12
01/01/2020,Oneoff,3.SB,3,sbonds,0.0,253.28,0,0.0,12
01/01/2020,Oneoff,3.GO,3,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,3.CA,3,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,4.ST,4,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,4.CB,4,cbonds,84950.1,77.58,1095,84950.1,12
01/01/2020,Oneoff,4.SB,4,sbonds,4812.32,253.28,19,4812.32,12
01/01/2020,Oneoff,4.GO,4,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,4.CA,4,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,5.ST,5,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,5.CB,5,cbonds,79984.98,77.58,1031,79984.98,12
01/01/2020,Oneoff,5.SB,5,sbonds,9877.92,253.28,39,9877.92,12
01/01/2020,Oneoff,5.GO,5,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,5.CA,5,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,6.ST,6,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,6.CB,6,cbonds,74942.28,77.58,966,74942.28,12
01/01/2020,Oneoff,6.SB,6,sbonds,14943.52,253.28,59,14943.52,12
